nome_repositorio,url,estrelas,data_criacao,idade_em_dias,idade_em_anos,total_pull_requests,total_pull_requests_aceitas,total_releases,data_ultima_atualizacao,dias_desde_ultima_atualizacao,linguagem_primaria,linguagens,total_issues,issues_abertas,issues_fechadas,razao_issues_fechadas,media_prs_aceitas_linguagem,media_releases_linguagem,media_dias_desde_atualizacao_linguagem
PKUanonym/REKCARC-TSC-UHT,https://github.com/PKUanonym/REKCARC-TSC-UHT,37432,05/04/2019,2693,7.4,216,198,0,19/07/2026,31,HTML,"HTML, TeX, Java, Assembly, C, Makefile, Python, C#, ShaderLab, MATLAB",37,4,33,0.8919,2959.28,84.38,78.49
stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,37428,09/01/2023,1318,3.6,2789,1702,110,19/08/2026,0,Python,"Python, JavaScript",1656,313,1343,0.811,4381.96,96.0,134.19
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,37407,13/12/2022,1345,3.7,1973,1616,127,17/08/2024,732,Python,"Python, Mako, Shell, CSS, JavaScript, TypeScript, HTML, Dockerfile",1649,229,1420,0.8611,4381.96,96.0,134.19
exacity/deeplearningbook-chinese,https://github.com/exacity/deeplearningbook-chinese,37362,07/12/2016,3542,9.7,34,16,7,03/12/2019,2451,TeX,"TeX, Makefile, Python, Shell",204,65,139,0.6814,212.0,23.5,1225.5
pbatard/rufus,https://github.com/pbatard/rufus,37353,19/11/2011,5387,14.8,271,1,90,03/08/2026,16,Shell,"Shell, C, Assembly, Makefile, Batchfile, M4, Python, sed, C#, PowerShell",2698,10,2688,0.9963,6587.32,101.51,68.88
eugenp/tutorials,https://github.com/eugenp/tutorials,37324,29/04/2013,4860,13.3,18503,13834,0,18/08/2026,1,Java,"Java, HTML, XSLT, CSS, Python, Shell, JavaScript, RAML, FreeMarker, PLpgSQL",792,14,778,0.9823,1668.22,57.66,146.66
openai/gym,https://github.com/openai/gym,37240,27/04/2016,3766,10.3,1468,1000,19,26/03/2026,145,Shell,"Shell, Python, Dockerfile",1838,113,1725,0.9385,6587.32,101.51,68.88
0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,37237,10/06/2019,2627,7.2,45,35,0,22/10/2025,301,Python,Python,51,32,19,0.3725,4381.96,96.0,134.19
myshell-ai/OpenVoice,https://github.com/myshell-ai/OpenVoice,37159,29/11/2023,994,2.7,71,18,0,19/04/2025,487,Python,"Python, Jupyter Notebook",359,284,75,0.2089,4381.96,96.0,134.19
SagerNet/sing-box,https://github.com/SagerNet/sing-box,37137,30/06/2022,1511,4.1,701,210,584,19/08/2026,0,Go,"Go, Shell, Makefile, Dockerfile, C, Objective-C",3287,266,3021,0.9191,3162.76,209.72,80.52
IceWhaleTech/CasaOS,https://github.com/IceWhaleTech/CasaOS,37098,26/09/2021,1788,4.9,327,275,97,06/08/2025,378,Makefile,"Makefile, Go, Shell, HTML",1721,817,904,0.5253,6824.34,158.88,82.6
lfnovo/open-notebook,https://github.com/lfnovo/open-notebook,37076,21/10/2024,667,1.8,611,460,42,16/08/2026,3,Dockerfile,"Dockerfile, Makefile, Python, Jinja, JavaScript, TypeScript, CSS, Shell",576,106,470,0.816,1947.39,130.55,56.58
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,37075,02/02/2019,2755,7.5,766,559,78,11/08/2026,8,Python,"Python, Shell, MDX",1036,42,994,0.9595,4381.96,96.0,134.19
markedjs/marked,https://github.com/markedjs/marked,37065,24/07/2011,5505,15.1,2214,1740,179,18/08/2026,1,JavaScript,"JavaScript, HTML, TypeScript",1685,8,1677,0.9953,4153.66,207.36,93.73
satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,37059,28/08/2017,3278,9.0,147,113,2,13/01/2026,218,Python,Python,226,68,158,0.6991,4381.96,96.0,134.19
patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,37036,21/10/2024,667,1.8,199,68,0,27/07/2026,23,Python,"Python, Jupyter Notebook, Shell, JavaScript, TypeScript, HTML, Dockerfile, CSS",50,23,27,0.54,4381.96,96.0,134.19
fastify/fastify,https://github.com/fastify/fastify,37005,28/09/2016,3612,9.9,4306,3449,323,19/08/2026,0,JavaScript,"JavaScript, TypeScript, Shell",2184,51,2133,0.9766,4153.66,207.36,93.73
mouredev/Hello-Python,https://github.com/mouredev/Hello-Python,36999,03/08/2022,1477,4.0,14,0,0,11/08/2025,373,Python,Python,444,40,404,0.9099,4381.96,96.0,134.19
Textualize/textual,https://github.com/Textualize/textual,36977,08/04/2021,1959,5.4,2830,2311,223,11/07/2026,39,Python,"Python, Makefile, TypeScript, Jinja, Tree-sitter Query",2434,232,2202,0.9047,4381.96,96.0,134.19
AobingJava/JavaFamily,https://github.com/AobingJava/JavaFamily,36974,12/11/2019,2472,6.8,15,2,0,03/11/2025,289,,,66,6,60,0.9091,1575.95,5.59,292.54
babysor/MockingBird,https://github.com/babysor/MockingBird,36909,07/08/2021,1838,5.0,102,82,1,03/03/2026,169,Python,"Python, Dockerfile, Shell, Cython",891,477,414,0.4646,4381.96,96.0,134.19
soxoj/maigret,https://github.com/soxoj/maigret,36892,27/06/2020,2244,6.1,1287,1066,29,19/08/2026,0,Python,"Python, Dockerfile, CSS, HTML, Makefile, Jupyter Notebook, Shell, Batchfile, Go Template",1589,12,1577,0.9924,4381.96,96.0,134.19
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,36856,19/06/2023,1157,3.2,5236,3902,1000,19/08/2026,0,JavaScript,"JavaScript, TypeScript, CSS, Shell, Python, Dockerfile, C#, Java, HTML, MDX",1228,138,1090,0.8876,4153.66,207.36,93.73
